year,bank,survey_scope,survey_type,source_file,source_format,source_sheet,transect,plot_group,percent_cover,source_section,metric_type,record_type,taxon_level
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE14,CCA,0.0,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE14,Colonizable Substrate,10.8,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE14,Coral,73.2,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE14,Hydrocoral,0.6,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE14,Macroalgae,13.2,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE14,Other,0.6,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE14,Sand,0.0,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE14,Sponge,0.0,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE15,CCA,0.0,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE15,Colonizable Substrate,7.3999999999999995,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE15,Coral,60.6,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE15,Hydrocoral,0.2,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE15,Macroalgae,28.0,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE15,Other,0.2,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE15,Sand,0.0,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE15,Sponge,0.0,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE16,CCA,0.0,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE16,Colonizable Substrate,21.8,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
2004,EFGB,study_site,RT,Appendix 1 Random Transect Data 2004-2008.xls,excel_appendix,East Bank 2004,NE16,Coral,52.6,RECONSTRUCTED MAJOR CATEGORY FROM APPENDIX SUBCATEGORIES,percent_cover,cover,functional_group
