year,bank,survey_scope,survey_type,species_label,n_transects,mean_percent_cover,sd_percent_cover,se_percent_cover
2004,EFGB,study_site,RT,Montastraea annularis species complex,14,30.142857142857142,17.80569115093928,4.758771130109097
2004,EFGB,study_site,RT,Diploria strigosa,14,12.12857142857143,10.561936635603601,2.822796302231752
2004,EFGB,study_site,RT,Porites astreoides,14,8.185714285714285,3.7164617463506753,0.9932661818496991
2004,EFGB,study_site,RT,Montastraea cavernosa,14,7.728571428571429,7.2611112278862855,1.9406136044291376
2004,EFGB,study_site,RT,Colpophyllia natans,14,2.814285714285714,4.793883465554694,1.2812192485875844
2004,EFGB,study_site,RT,Millepora alcicornis,14,1.4142857142857144,1.8505122545921182,0.49457020333644997
2004,EFGB,study_site,RT,Madracis spp.,14,0.7000000000000001,1.1786563405975337,0.31500915737605034
2004,EFGB,study_site,RT,Stephanocoenia intersepta,14,0.32857142857142857,0.9101382578222103,0.24324468109757422
2004,EFGB,study_site,RT,Agaricia spp.,14,0.3,0.41324233903271673,0.110443660740679
2004,EFGB,study_site,RT,Siderastrea siderea,14,0.2714285714285714,1.0155927192672127,0.27142857142857146
2004,EFGB,study_site,RT,Mussa angulosa,14,0.028571428571428574,0.0726273039202563,0.01941046344247879
2004,EFGB,study_site,RT,Scolymia cubensis,14,0.0,0.0,0.0
2004,WFGB,study_site,RT,Montastraea annularis species complex,16,31.7,10.803209399679956,2.700802349919989
2004,WFGB,study_site,RT,Diploria strigosa,16,13.4125,6.968679932383177,1.7421699830957942
2004,WFGB,study_site,RT,Porites astreoides,16,5.1875,2.4802889616601798,0.6200722404150449
2004,WFGB,study_site,RT,Montastraea cavernosa,16,3.7125,4.068066698896008,1.017016674724002
2004,WFGB,study_site,RT,Colpophyllia natans,16,3.475,6.238749874774593,1.5596874686936482
2004,WFGB,study_site,RT,Millepora alcicornis,16,1.05,2.0441787266936,0.5110446816734
2004,WFGB,study_site,RT,Stephanocoenia intersepta,16,0.5875,1.0892658077806354,0.27231645194515885
2004,WFGB,study_site,RT,Madracis spp.,16,0.5375,1.690315552394483,0.42257888809862076
2004,WFGB,study_site,RT,Agaricia spp.,16,0.2875,0.4256367778595579,0.10640919446488947
2004,WFGB,study_site,RT,Mussa angulosa,16,0.1625,0.28489764243788795,0.07122441060947199
2004,WFGB,study_site,RT,Scolymia cubensis,16,0.0,0.0,0.0
2005,EFGB,study_site,RT,Montastraea annularis species complex,15,26.8,15.86118352636848,4.095339976584303
2005,EFGB,study_site,RT,Porites astreoides,15,7.546666666666667,4.6114557147959045,1.1906727456785038
2005,EFGB,study_site,RT,Diploria strigosa,15,5.946666666666667,4.862372534747483,1.2554591900088898
2005,EFGB,study_site,RT,Montastraea cavernosa,15,3.4,4.39610216961734,1.1350686994102832
2005,EFGB,study_site,RT,Colpophyllia natans,15,1.7733333333333332,4.182184437189095,1.0798353784000803
2005,EFGB,study_site,RT,Millepora alcicornis,15,1.6266666666666667,2.2663585224718865,0.5851712542712576
2005,EFGB,study_site,RT,Madracis spp.,15,0.88,1.4673591438849782,0.3788705018114462
2005,EFGB,study_site,RT,Siderastrea siderea,15,0.6,1.4599412904047104,0.37695522027853395
2005,EFGB,study_site,RT,Stephanocoenia intersepta,15,0.46666666666666673,1.807392228230128,0.4666666666666667
2005,EFGB,study_site,RT,Agaricia spp.,15,0.10666666666666667,0.2711527420547495,0.07001133695043468
2005,EFGB,study_site,RT,Mussa angulosa,15,0.06666666666666667,0.20930724738891351,0.054042898891851855
2005,EFGB,study_site,RT,Scolymia cubensis,15,0.013333333333333334,0.051639777949432225,0.013333333333333332
2005,WFGB,study_site,RT,Montastraea annularis species complex,16,36.2,14.002475971532082,3.5006189928830205
2005,WFGB,study_site,RT,Diploria strigosa,16,6.675,5.154609587543948,1.288652396885987
2005,WFGB,study_site,RT,Porites astreoides,16,4.0375,1.8304371062672438,0.45760927656681094
2005,WFGB,study_site,RT,Montastraea cavernosa,16,2.4250000000000003,2.768272626265942,0.6920681565664855
2005,WFGB,study_site,RT,Millepora alcicornis,16,1.675,1.8859126879754182,0.47147817199385456
2005,WFGB,study_site,RT,Colpophyllia natans,16,1.4,2.163947011057957,0.5409867527644893
2005,WFGB,study_site,RT,Siderastrea siderea,16,1.1,2.9230121450312185,0.7307530362578046
2005,WFGB,study_site,RT,Agaricia spp.,16,0.2375,0.29410882339705485,0.07352720584926371
2005,WFGB,study_site,RT,Mussa angulosa,16,0.125,0.3087609647175843,0.07719024117939607
2005,WFGB,study_site,RT,Madracis spp.,16,0.07500000000000001,0.14375905768565217,0.03593976442141304
2005,WFGB,study_site,RT,Scolymia cubensis,16,0.0125,0.05,0.0125
2005,WFGB,study_site,RT,Stephanocoenia intersepta,16,0.0,0.0,0.0
2006,EFGB,study_site,RT,Montastraea annularis species complex,16,31.45,16.374044501384905,4.093511125346226
2006,EFGB,study_site,RT,Diploria strigosa,16,10.25,6.069156998024245,1.5172892495060613
2006,EFGB,study_site,RT,Porites astreoides,16,4.9125,3.3338416279121597,0.8334604069780399
2006,EFGB,study_site,RT,Montastraea cavernosa,16,2.475,2.6990121649719674,0.6747530412429918
2006,EFGB,study_site,RT,Colpophyllia natans,16,1.7249999999999999,4.236901383479834,1.0592253458699585
2006,EFGB,study_site,RT,Millepora alcicornis,16,0.4625,0.805708797684788,0.201427199421197
2006,EFGB,study_site,RT,Stephanocoenia intersepta,16,0.3125,0.6489735485107746,0.16224338712769365
2006,EFGB,study_site,RT,Siderastrea siderea,16,0.2,0.521536192416212,0.130384048104053
2006,EFGB,study_site,RT,Madracis spp.,16,0.175,0.3336665001664586,0.08341662504161465
2006,EFGB,study_site,RT,Agaricia spp.,16,0.07500000000000001,0.12382783747337807,0.030956959368344517
