year,bank,survey_scope,survey_type,species_label,n_transects,mean_percent_cover,sd_percent_cover,se_percent_cover,data_source_branch
1991,WFGB,study_site,RT,Agaricia agaricites (AGAG),2,0.121654501216545,0.17204544554417214,0.121654501216545,cpce
1991,WFGB,study_site,RT,Agaricia fragilis (AGFR),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Agaricia lamarcki (AGLA),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Agaricia sp (AGSP),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Colpophyllia amaranthus (COAM),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Colpophyllia natans (CONA),2,1.3895576141594281,0.09941412288700173,0.07029640043911167,cpce
1991,WFGB,study_site,RT,Colpophyllia sp (COSP),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Crustose Coralline Algae (CCA),2,5.191662012338783,4.3569714678970035,3.080844070386277,cpce
1991,WFGB,study_site,RT,Madracis auretenra (MAAU),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Madracis decactis (MADE),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Madracis sp (MASP),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Millepora alcicornis (MIAL),2,1.6328666165925185,0.44350501397534636,0.3136054028722019,cpce
1991,WFGB,study_site,RT,Montastraea cavernosa (MOCA),2,1.8761756190256085,0.7875959050636906,0.5569144053052919,cpce
1991,WFGB,study_site,RT,Mussa angulosa (MUAN),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Orbicella annularis (ORAN),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Orbicella faveolata (ORFA),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Orbicella franksi (ORFR),2,28.56922750996668,10.178371978869208,7.1971958476975555,cpce
1991,WFGB,study_site,RT,Orbicella spp. (ORSP),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Porites astreoides (POAS),2,0.7812851080767033,0.7608131048338588,0.5379761056436132,cpce
1991,WFGB,study_site,RT,Porites furcata (POFU),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Pseudodiploria strigosa (PSST),2,7.965320442450038,8.51193706965375,6.018848422985317,cpce
1991,WFGB,study_site,RT,Scolymia cubensis (SCCU),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Scolymia sp (SCSP),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Siderastrea radians (SIRA),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Siderastrea siderea (SISI),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Siderastrea sp (SISP),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Stephanocoenia intersepta (STIN),2,0.2638522427440633,0.37314342015121243,0.2638522427440633,cpce
1991,WFGB,study_site,RT,Stephaocoenia sp (STSP),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Unknown Coral I (C1),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Unknown Coral II (C2),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Unknown Coral III (C3),2,0.0,0.0,0.0,cpce
1991,WFGB,study_site,RT,Unknown Coral IV (C4),2,0.0,0.0,0.0,cpce
1992,EFGB,study_site,RT,Agaricia agaricites (AGAG),18,0.5183195597290141,0.39889511785907955,0.09402048094012076,cpce
1992,EFGB,study_site,RT,Agaricia fragilis (AGFR),18,0.10778374207641234,0.19330039398733562,0.04556133979815879,cpce
1992,EFGB,study_site,RT,Agaricia lamarcki (AGLA),18,0.0,0.0,0.0,cpce
1992,EFGB,study_site,RT,Agaricia sp (AGSP),18,0.0,0.0,0.0,cpce
1992,EFGB,study_site,RT,Colpophyllia amaranthus (COAM),18,0.033106631560068316,0.07619681885729639,0.017959762439612427,cpce
1992,EFGB,study_site,RT,Colpophyllia natans (CONA),18,2.24206035721064,3.2258138529716067,0.7603316167605759,cpce
1992,EFGB,study_site,RT,Colpophyllia sp (COSP),18,0.0,0.0,0.0,cpce
1992,EFGB,study_site,RT,Crustose Coralline Algae (CCA),18,2.797797134517801,1.2106910147037493,0.28536260880621445,cpce
1992,EFGB,study_site,RT,Madracis auretenra (MAAU),18,0.0,0.0,0.0,cpce
1992,EFGB,study_site,RT,Madracis decactis (MADE),18,0.5131502780558977,0.7489344744983387,0.17652554852738628,cpce
1992,EFGB,study_site,RT,Madracis sp (MASP),18,0.0,0.0,0.0,cpce
1992,EFGB,study_site,RT,Millepora alcicornis (MIAL),18,1.80228531335546,2.170954362651646,0.5116988504924994,cpce
1992,EFGB,study_site,RT,Montastraea cavernosa (MOCA),18,2.3543234522366223,2.4051349403765356,0.5668957420029838,cpce
1992,EFGB,study_site,RT,Mussa angulosa (MUAN),18,0.05460198224157922,0.13113313758959075,0.030908376942622728,cpce
