year,bank,survey_scope,survey_type,plot_group,n_transects,mean_percent_cover,sd_percent_cover,se_percent_cover
2004,EFGB,study_site,RT,Coral,14,62.714285714285715,10.827518867920057,2.8937761394705217
2004,EFGB,study_site,RT,Sponge,14,0.31428571428571433,0.9138735334633754,0.24424297550431723
2004,EFGB,study_site,RT,Macroalgae,14,12.028571428571428,10.352512037882665,2.7668252241578446
2004,EFGB,study_site,RT,CCA,14,0.014285714285714287,0.05345224838248488,0.014285714285714287
2004,EFGB,study_site,RT,Colonizable Substrate,14,20.914285714285715,11.53395369819421,3.082578789539785
2004,EFGB,study_site,RT,Sand,14,0.1285714285714286,0.4268463449507354,0.11407948425731265
2004,EFGB,study_site,RT,Other,14,0.2,0.3038218101251,0.08119979429411503
2004,EFGB,study_site,RT,Hydrocoral,14,1.4142857142857144,1.8505122545921182,0.49457020333644997
2004,WFGB,study_site,RT,Coral,16,59.362500000000004,12.78128188667579,3.1953204716689476
2004,WFGB,study_site,RT,Sponge,16,0.4,0.6066300355241241,0.15165750888103102
2004,WFGB,study_site,RT,Macroalgae,16,14.75,6.0170867812699305,1.5042716953174826
2004,WFGB,study_site,RT,CCA,16,3.3499999999999996,4.640402281411961,1.1601005703529903
2004,WFGB,study_site,RT,Colonizable Substrate,16,17.5625,5.321262381553209,1.3303155953883024
2004,WFGB,study_site,RT,Sand,16,1.6625,2.432796744489765,0.6081991861224413
2004,WFGB,study_site,RT,Other,16,0.037500000000000006,0.10878112581387148,0.02719528145346787
2004,WFGB,study_site,RT,Hydrocoral,16,1.05,2.0441787266936,0.5110446816734
2005,EFGB,study_site,RT,Coral,15,47.919999999999995,11.779352395490292,3.0414157104561563
2005,EFGB,study_site,RT,Sponge,15,0.48000000000000004,1.0192434168819255,0.26316751862101606
2005,EFGB,study_site,RT,Macroalgae,15,34.02666666666667,9.975646535915546,2.575700860083508
2005,EFGB,study_site,RT,CCA,15,3.2800000000000002,3.1675136711848397,0.81784851315888
2005,EFGB,study_site,RT,Colonizable Substrate,15,8.68,4.524725721758486,1.1682791577684633
2005,EFGB,study_site,RT,Sand,15,0.5066666666666667,0.9735550954155209,0.25137084474397897
2005,EFGB,study_site,RT,Other,15,0.16000000000000003,0.202837021134844,0.052372293656638175
2005,EFGB,study_site,RT,Hydrocoral,15,1.6266666666666667,2.2663585224718865,0.5851712542712576
2005,WFGB,study_site,RT,Coral,16,52.7375,12.898313843289747,3.224578460822437
2005,WFGB,study_site,RT,Sponge,16,0.25,0.44721359549995787,0.11180339887498947
2005,WFGB,study_site,RT,Macroalgae,16,18.35,5.762638284674824,1.440659571168706
2005,WFGB,study_site,RT,CCA,16,2.9625,2.590463279029448,0.647615819757362
2005,WFGB,study_site,RT,Colonizable Substrate,16,15.7125,7.195171992384894,1.7987929980962234
2005,WFGB,study_site,RT,Sand,16,0.75,1.9751793167541356,0.4937948291885339
2005,WFGB,study_site,RT,Other,16,0.1125,0.16278820596099708,0.04069705149024927
2005,WFGB,study_site,RT,Hydrocoral,16,1.675,1.8859126879754182,0.47147817199385456
2006,EFGB,study_site,RT,Coral,16,51.8,13.719280836350958,3.4298202090877394
2006,EFGB,study_site,RT,Sponge,16,0.7875,1.333604139165742,0.3334010347914355
2006,EFGB,study_site,RT,Macroalgae,16,21.1,9.285113533680313,2.3212783834200783
2006,EFGB,study_site,RT,CCA,16,2.825,2.1025381486828407,0.5256345371707102
2006,EFGB,study_site,RT,Colonizable Substrate,16,20.375,7.852260820935586,1.9630652052338966
2006,EFGB,study_site,RT,Sand,16,0.325,0.6191391873668904,0.1547847968417226
2006,EFGB,study_site,RT,Other,16,0.575,0.6276941930590086,0.15692354826475216
2006,EFGB,study_site,RT,Hydrocoral,16,0.4625,0.805708797684788,0.201427199421197
2006,WFGB,study_site,RT,Coral,16,57.625,11.970825646824311,2.9927064117060778
2006,WFGB,study_site,RT,Sponge,16,0.4625,0.49916597106239796,0.12479149276559949
2006,WFGB,study_site,RT,Macroalgae,16,12.375,5.353565789888704,1.338391447472176
2006,WFGB,study_site,RT,CCA,16,3.5749999999999997,1.8873261509341726,0.47183153773354314
2006,WFGB,study_site,RT,Colonizable Substrate,16,22.325,7.733520112686934,1.9333800281717335
2006,WFGB,study_site,RT,Sand,16,0.6625000000000001,0.8476437931112338,0.21191094827780846
2006,WFGB,study_site,RT,Other,16,0.41250000000000003,0.33837848631377265,0.08459462157844316
2006,WFGB,study_site,RT,Hydrocoral,16,0.65,0.7949842765740717,0.19874606914351792
2007,EFGB,study_site,RT,Coral,16,51.78016904196391,17.79650481817649,4.449126204544123
2007,EFGB,study_site,RT,Sponge,16,0.5652258460545113,0.8803656857218198,0.22009142143045496
2007,EFGB,study_site,RT,Macroalgae,16,21.754422546914036,9.114374295674796,2.278593573918699
2007,EFGB,study_site,RT,CCA,16,1.1251755991464771,0.9949303542565878,0.24873258856414696
2007,EFGB,study_site,RT,Colonizable Substrate,16,23.49245644487274,8.816350562381416,2.204087640595354
2007,EFGB,study_site,RT,Sand,16,0.7435111240580319,1.4841676623523268,0.3710419155880817
2007,EFGB,study_site,RT,Other,16,0.38567876107676335,0.4681315221042499,0.11703288052606248
2007,EFGB,study_site,RT,Hydrocoral,16,0.07679464044967124,0.2582704210180266,0.06456760525450665
2007,WFGB,study_site,RT,Coral,16,55.69301433624418,13.39593363913526,3.348983409783815
2007,WFGB,study_site,RT,Sponge,16,0.3522903808633239,0.41633985706698406,0.10408496426674602
2007,WFGB,study_site,RT,Macroalgae,16,17.73923092189603,9.759030498636877,2.439757624659219
2007,WFGB,study_site,RT,CCA,16,2.5027113943792108,1.3577713063747427,0.3394428265936857
2007,WFGB,study_site,RT,Colonizable Substrate,16,21.73661597542668,7.538332546424038,1.8845831366060095
2007,WFGB,study_site,RT,Sand,16,0.6041538285035278,0.8129849538842512,0.2032462384710628
2007,WFGB,study_site,RT,Other,16,0.32095664607715235,0.45341478661162377,0.11335369665290594
2007,WFGB,study_site,RT,Hydrocoral,16,0.8178215182285893,1.0918021111535856,0.2729505277883964
2008,EFGB,study_site,RT,Coral,16,55.97740965663455,14.378196341739145,3.594549085434786
2008,EFGB,study_site,RT,Sponge,16,0.40401736464705434,0.5891804907104261,0.14729512267760653
